index,node
2363,1.397221230955882e6
2364,1.397221230955882e6
2365,1.397221230955882e6
2366,1.397221230955882e6
2367,1.397221230955882e6
2368,1.397221230955882e6
2369,1.397221230955882e6
2370,1.397221230955882e6
2371,1.397221230955882e6
2372,1.397221230955882e6
2373,1.397221230955882e6
2374,1.397221230955882e6
2375,1.397221230955882e6
2376,1.397221230955882e6
2377,1.397221230955882e6
2378,1.397221230955882e6
2379,1.397221230955882e6
2380,1.397221230955882e6
2381,1.397221230955882e6
2382,1.397221230955882e6
2383,1.397221230955882e6
2384,1.397221230955882e6
2385,1.397221230955882e6
2386,1.397221230955882e6
2387,1.397221230955882e6
2388,1.397221230955882e6
2389,1.397221230955882e6
2390,1.397221230955882e6
2391,1.397221230955882e6
2392,1.397221230955882e6
2393,1.397221230955882e6
2394,1.397221230955882e6
2395,1.397221230955882e6
2396,1.397221230955882e6
2397,1.397221230955882e6
2398,1.397221230955882e6
2399,1.397221230955882e6
2400,1.397221230955882e6
2401,1.397221230955882e6
2402,1.397221230955882e6
2403,1.397221230955882e6
2404,1.397221230955882e6
2405,1.397221230955882e6
2406,1.397221230955882e6
2407,1.397221230955882e6
2408,1.397221230955882e6
2409,1.397221230955882e6
2410,1.397221230955882e6
2411,1.397221230955882e6
2412,1.397221230955882e6
2413,1.397221230955882e6
2414,1.397221230955882e6
2415,1.397221230955882e6
2416,1.397221230955882e6
2417,1.397221230955882e6
2418,1.397221230955882e6
2419,1.397221230955882e6
2420,1.397221230955882e6
2421,1.397221230955882e6
2422,1.397221230955882e6
2423,1.397221230955882e6
2424,1.397221230955882e6
2425,1.397221230955882e6
2426,1.397221230955882e6
2427,1.397221230955882e6
2428,1.397221230955882e6
2429,1.397221230955882e6
2430,1.397221230955882e6
2431,1.397221230955882e6
2432,1.397221230955882e6
2875,1.397221230955882e6
2876,1.397221230955882e6
2877,1.397221230955882e6
2878,1.397221230955882e6
2879,1.397221230955882e6
2880,1.397221230955882e6
2881,1.397221230955882e6
2882,1.397221230955882e6
2883,1.397221230955882e6
2884,1.397221230955882e6
2885,1.397221230955882e6
2886,1.397221230955882e6
2887,1.397221230955882e6
2888,1.397221230955882e6
2889,1.397221230955882e6
2890,1.397221230955882e6
2891,1.397221230955882e6
2892,1.397221230955882e6
2893,1.397221230955882e6
2894,1.397221230955882e6
2895,1.397221230955882e6
2896,1.397221230955882e6
2897,1.397221230955882e6
2898,1.397221230955882e6
2899,1.397221230955882e6
2900,1.397221230955882e6
2901,1.397221230955882e6
2902,1.397221230955882e6
2903,1.397221230955882e6
2904,1.397221230955882e6
2905,1.397221230955882e6
2906,1.397221230955882e6
2907,1.397221230955882e6
2908,1.397221230955882e6
